problem_index,Anytime 1.25-A*,Anytime 1.5-A*,Anytime 2-A*,Anytime A*,initial_heuristic
"0,1,2,7,6,5,8,4,3",16.0,16.0,16.0,16.0,10.0
"0,1,4,3,7,5,8,6,2",20.0,24.0,24.0,20.0,16.0
"0,1,6,4,5,8,3,2,7",20.0,22.0,22.0,20.0,12.0
"0,1,7,8,2,3,4,5,6",20.0,20.0,22.0,20.0,12.0
"0,2,1,5,4,3,8,6,7",20.0,20.0,20.0,20.0,10.0
"0,2,3,8,5,4,7,1,6",20.0,20.0,22.0,20.0,8.0
"0,2,6,3,5,7,4,8,1",22.0,24.0,24.0,22.0,12.0
"0,2,6,5,3,4,1,7,8",14.0,14.0,14.0,14.0,10.0
"0,3,4,6,5,2,7,8,1",24.0,24.0,26.0,,12.0
"0,3,5,1,2,4,6,8,7",26.0,26.0,28.0,26.0,12.0
"0,3,5,1,2,6,7,8,4",14.0,14.0,14.0,14.0,8.0
"0,4,2,3,5,1,8,6,7",26.0,26.0,26.0,26.0,14.0
"0,4,2,7,3,1,5,8,6",16.0,16.0,16.0,16.0,12.0
"0,4,6,2,3,7,5,1,8",18.0,18.0,18.0,18.0,16.0
"0,4,6,3,8,5,7,2,1",24.0,24.0,24.0,22.0,14.0
"0,5,2,4,6,7,8,3,1",26.0,26.0,28.0,26.0,14.0
"0,5,3,1,4,8,6,7,2",22.0,24.0,24.0,22.0,12.0
"0,5,4,7,1,8,2,3,6",28.0,28.0,30.0,28.0,16.0
"0,5,4,8,7,1,2,3,6",24.0,24.0,30.0,24.0,18.0
"0,5,8,1,4,3,6,2,7",24.0,24.0,24.0,24.0,14.0
"0,5,8,2,7,6,4,1,3",26.0,28.0,30.0,26.0,14.0
"0,6,2,3,7,8,5,4,1",22.0,22.0,22.0,22.0,18.0
"0,6,4,1,3,7,2,8,5",26.0,26.0,26.0,26.0,16.0
"0,7,2,8,1,3,6,4,5",16.0,16.0,16.0,16.0,16.0
"0,7,3,6,4,2,1,8,5",20.0,20.0,24.0,20.0,12.0
"0,7,4,2,5,1,3,6,8",26.0,26.0,26.0,26.0,18.0
"0,7,5,2,1,3,6,4,8",20.0,20.0,26.0,20.0,16.0
"0,7,6,5,4,1,8,2,3",24.0,24.0,24.0,24.0,14.0
"0,7,8,2,5,6,1,4,3",22.0,24.0,26.0,22.0,14.0
"0,7,8,4,5,1,2,3,6",28.0,28.0,32.0,28.0,16.0
"0,8,2,1,5,6,4,7,3",16.0,16.0,16.0,16.0,8.0
"0,8,4,1,2,7,5,3,6",26.0,26.0,26.0,26.0,16.0
"0,8,4,2,5,3,1,6,7",20.0,20.0,22.0,20.0,14.0
"0,8,7,5,4,3,6,1,2",26.0,30.0,30.0,26.0,18.0
"1,0,2,5,3,6,8,7,4",23.0,23.0,23.0,23.0,9.0
"1,0,2,6,8,5,4,3,7",17.0,17.0,17.0,17.0,11.0
"1,0,3,4,5,7,8,6,2",19.0,19.0,21.0,19.0,9.0
"1,0,4,2,3,5,8,6,7",21.0,21.0,25.0,21.0,13.0
"1,0,4,6,5,7,2,8,3",25.0,25.0,27.0,25.0,13.0
"1,0,5,2,3,6,7,8,4",15.0,15.0,15.0,15.0,9.0
"1,0,7,2,8,5,6,4,3",27.0,27.0,29.0,25.0,15.0
"1,2,6,5,0,7,8,4,3",20.0,20.0,20.0,20.0,10.0
"1,3,0,4,5,2,7,6,8",18.0,18.0,18.0,18.0,6.0
"1,4,0,5,6,7,8,2,3",24.0,24.0,26.0,24.0,12.0
"1,4,2,5,3,0,6,8,7",21.0,21.0,21.0,21.0,11.0
"1,4,3,0,2,8,6,7,5",19.0,,,,11.0
"1,4,6,2,3,7,0,5,8",22.0,22.0,26.0,22.0,12.0
"1,4,7,8,6,3,0,2,5",22.0,22.0,22.0,22.0,14.0
"1,4,8,5,6,3,0,2,7",26.0,26.0,26.0,26.0,12.0
"1,5,0,4,2,3,7,6,8",16.0,16.0,18.0,16.0,6.0
"1,5,3,2,4,8,6,0,7",19.0,19.0,19.0,19.0,11.0
"1,5,3,6,2,8,0,4,7",18.0,18.0,20.0,18.0,10.0
"1,5,3,8,0,4,6,2,7",22.0,22.0,26.0,22.0,12.0
"1,5,6,3,7,4,2,8,0",20.0,20.0,24.0,20.0,12.0
"1,5,6,8,4,0,3,7,2",23.0,23.0,23.0,23.0,13.0
"1,5,7,4,2,6,3,0,8",23.0,23.0,23.0,23.0,11.0
"1,5,8,4,7,6,3,0,2",23.0,25.0,25.0,23.0,13.0
"1,6,2,3,5,8,7,4,0",18.0,20.0,20.0,18.0,10.0
"1,6,2,5,4,7,3,8,0",22.0,22.0,26.0,22.0,12.0
"1,6,7,5,2,8,4,0,3",21.0,21.0,23.0,21.0,13.0
"1,6,8,7,4,0,2,5,3",17.0,17.0,17.0,17.0,13.0
"1,7,2,6,0,5,4,8,3",18.0,18.0,20.0,18.0,10.0
"1,7,3,5,0,6,2,4,8",14.0,14.0,14.0,14.0,10.0
"1,7,3,5,2,4,6,0,8",23.0,23.0,23.0,23.0,11.0
"1,7,6,8,3,0,5,2,4",21.0,21.0,21.0,21.0,15.0
"1,7,8,4,3,0,2,6,5",19.0,19.0,19.0,19.0,15.0
"1,8,0,7,5,4,2,3,6",24.0,24.0,28.0,24.0,12.0
"1,8,3,2,4,5,0,7,6",14.0,14.0,14.0,14.0,8.0
"1,8,3,5,7,0,6,2,4",23.0,23.0,23.0,23.0,13.0
"1,8,6,2,5,3,0,4,7",22.0,24.0,24.0,22.0,10.0
"2,0,1,3,5,4,6,7,8",25.0,25.0,29.0,25.0,13.0
"2,0,4,8,5,6,3,7,1",23.0,23.0,25.0,23.0,15.0
"2,0,7,3,6,5,8,1,4",23.0,23.0,27.0,23.0,17.0
"2,0,8,1,6,7,5,4,3",21.0,21.0,25.0,21.0,15.0
"2,1,5,4,3,6,7,8,0",16.0,16.0,16.0,16.0,6.0
"2,1,6,5,3,8,4,0,7",17.0,21.0,21.0,17.0,11.0
"2,1,7,4,6,8,3,0,5",25.0,27.0,29.0,25.0,15.0
"2,3,1,4,5,8,6,7,0",20.0,20.0,20.0,20.0,10.0
"2,3,5,4,7,1,0,8,6",18.0,18.0,18.0,18.0,10.0
"2,3,8,7,6,1,0,4,5",20.0,22.0,22.0,20.0,14.0
"2,4,1,8,0,3,5,7,6",16.0,16.0,16.0,16.0,12.0
"2,4,3,1,7,0,8,5,6",17.0,17.0,17.0,17.0,9.0
"2,4,5,1,8,3,0,6,7",,,24.0,,12.0
"2,4,6,5,3,7,1,8,0",22.0,24.0,24.0,22.0,12.0
"2,4,6,5,8,7,0,3,1",24.0,24.0,30.0,24.0,16.0
"2,4,6,7,3,0,1,5,8",21.0,21.0,21.0,19.0,11.0
"2,4,7,0,8,6,5,1,3",25.0,25.0,29.0,25.0,15.0
"2,4,7,5,0,8,1,3,6",26.0,26.0,30.0,26.0,16.0
"2,5,0,7,6,4,1,8,3",20.0,20.0,22.0,20.0,10.0
"2,5,1,7,8,4,6,0,3",23.0,23.0,25.0,23.0,13.0
"2,5,3,1,0,8,7,4,6",18.0,18.0,18.0,18.0,8.0
"2,5,6,8,7,4,1,0,3",21.0,21.0,23.0,21.0,13.0
"2,5,7,3,6,1,8,0,4",27.0,27.0,27.0,27.0,17.0
"2,6,3,0,8,5,4,7,1",19.0,19.0,19.0,19.0,11.0
"2,6,3,8,5,0,7,1,4",21.0,21.0,27.0,21.0,11.0
"2,6,5,7,0,4,1,8,3",18.0,18.0,20.0,18.0,12.0
"2,6,8,3,5,0,1,7,4",19.0,21.0,21.0,19.0,15.0
"2,6,8,5,7,4,1,3,0",20.0,24.0,26.0,20.0,16.0
"2,7,0,3,8,4,5,6,1",24.0,24.0,28.0,24.0,18.0
