problem_index,Anytime 1.25-A*,Anytime 1.5-A*,Anytime 2-A*,Anytime A*
"0,2,8,12,1,7,3,15,4,6,13,11,5,10,9,14",1441.0,228.0,90.0,15413.0
"0,5,15,2,13,4,11,10,3,12,14,6,1,8,9,7",196146.0,411950.0,95539.0,7802366.0
"1,7,11,0,13,8,14,2,9,10,5,4,12,3,15,6",304667.0,67588.0,5099.0,5003199.0
"11,2,9,4,3,7,1,14,6,10,15,12,0,5,13,8",247703.0,96378.0,11138.0,1300253.0
"11,2,9,8,0,5,10,4,7,13,12,1,3,6,14,15",267049.0,35463.0,17717.0,4479252.0
"11,9,12,3,14,7,0,4,5,2,15,6,10,1,8,13",1075438.0,159916.0,59531.0,11853719.0
"12,6,14,10,11,13,4,0,3,9,15,7,1,5,2,8",7630.0,17762.0,2334.0,906034.0
"14,9,0,7,3,1,13,12,5,6,4,10,15,11,8,2",403160.0,86770.0,7623.0,2179838.0
"15,5,13,8,6,4,14,10,11,2,3,12,1,9,7,0",1314634.0,104925.0,7455.0,18574696.0
"15,7,6,3,0,5,14,9,12,10,2,8,11,13,1,4",4315205.0,828205.0,29752.0,33805988.0
"2,1,6,5,4,3,14,8,10,9,7,11,15,0,12,13",2915482.0,441967.0,92401.0,7166008.0
"2,13,15,3,7,5,0,1,10,9,12,6,8,11,14,4",347540.0,35740.0,17413.0,8995532.0
"2,4,13,1,15,11,8,6,7,14,12,10,9,3,0,5",7620187.0,946674.0,94649.0,
"5,11,1,6,7,2,4,3,8,12,15,9,0,10,13,14",531207.0,83386.0,9194.0,6061277.0
"5,12,6,3,4,2,13,1,14,0,7,9,10,15,11,8",2837623.0,681951.0,28241.0,25808525.0
"6,11,14,12,5,9,15,2,8,7,0,4,3,1,10,13",1591805.0,270273.0,8224.0,11974454.0
"6,8,4,14,9,3,5,7,11,10,13,12,0,1,15,2",223526.0,139191.0,56574.0,10802672.0
"8,13,3,14,1,6,5,9,15,12,10,2,11,4,7,0",81765.0,5418.0,25095.0,4269334.0
"9,3,1,13,12,6,8,11,0,4,10,5,7,14,15,2",3232170.0,222653.0,5122.0,
